beta_kl,pair_i,A_idx,B_idx,p_new_A_postA,p_new_A_postAB,p_new_B_postAB,retention_A,retention_A_abs,success_B,status
0.0,0,0,1,0.9843087792396545,1.2512367675299174e-07,0.9998782873153687,1.27118318348888e-07,1.2512367675299174e-07,0.9998782873153687,ok
0.0,1,2,3,0.9999946355819702,6.4036767071229406e-06,9.595604524292867e-07,6.403711059306005e-06,6.4036767071229406e-06,9.595604524292867e-07,ok
0.0,2,4,5,1.0,5.596772502912406e-13,0.992161214351654,5.596772502912406e-13,5.596772502912406e-13,0.992161214351654,ok
0.0,3,6,7,0.9999784231185913,0.2773175835609436,0.9159790873527527,0.2773235673386679,0.2773175835609436,0.9159790873527527,ok
0.0,4,8,9,1.0,0.3222416937351227,0.9106724262237549,0.3222416937351227,0.3222416937351227,0.9106724262237549,ok
0.0,5,10,11,1.0,1.0,1.4494698064027034e-07,1.0,1.0,1.4494698064027034e-07,ok
0.0,6,12,13,0.9630483984947205,1.8010042176897624e-18,0.999806821346283,1.8701076918925333e-18,1.8010042176897624e-18,0.999806821346283,ok
0.0,7,14,15,0.9818875193595886,0.23149342834949493,1.0,0.23576369368711467,0.23149342834949493,1.0,ok
0.05,0,0,1,0.9821974039077759,2.9492009616660653e-06,0.999841570854187,3.002656034247656e-06,2.9492009616660653e-06,0.999841570854187,ok
0.05,1,2,3,0.9999822378158569,0.01650972105562687,5.290906202048973e-08,0.01651001430954124,0.01650972105562687,5.290906202048973e-08,ok
0.05,2,4,5,1.0,1.086811153072631e-06,0.9989470839500427,1.086811153072631e-06,1.086811153072631e-06,0.9989470839500427,ok
0.05,3,6,7,0.999977707862854,0.9644985795021057,0.9281980991363525,0.9645200807160251,0.9644985795021057,0.9281980991363525,ok
0.05,4,8,9,1.0,3.636077272606286e-10,0.9993252754211426,3.636077272606286e-10,3.636077272606286e-10,0.9993252754211426,ok
0.05,5,10,11,1.0,2.639678475802043e-09,0.9996788501739502,2.639678475802043e-09,2.639678475802043e-09,0.9996788501739502,ok
0.05,6,12,13,0.966416597366333,8.893314557001375e-11,0.9997696280479431,9.202361156914451e-11,8.893314557001375e-11,0.9997696280479431,ok
0.05,7,14,15,0.9462770819664001,0.9980134963989258,0.9999998807907104,1.054673642021442,0.9980134963989258,0.9999998807907104,ok
0.1,0,0,1,0.9816874861717224,0.0032545472495257854,0.9997290968894958,0.0033152579567022017,0.0032545472495257854,0.9997290968894958,ok
0.1,1,2,3,0.9999001026153564,5.729911656260356e-09,0.9866511821746826,5.7304841166363494e-09,5.729911656260356e-09,0.9866511821746826,ok
0.1,2,4,5,6.316508205372884e-08,4.328493870424635e-18,0.9649919271469116,4.328493870424635e-12,4.328493870424635e-18,0.9649919271469116,ok
0.1,3,6,7,0.9999767541885376,0.3240351974964142,0.7757915258407593,0.32404273013262463,0.3240351974964142,0.7757915258407593,ok
