pair_idx,A_idx,B_idx,condition,n_attn_A,n_attn_B,n_mlp_A,n_mlp_B,n_shared_attn,n_shared_mlp,jaccard_attn,jaccard_mlp,jaccard_combined
0,11,1221,shared,38,17,18,15,8,10,0.1702127659574468,0.43478260869565216,0.2571428571428571
1,231,2065,shared,4,7,8,14,0,4,0.0,0.2222222222222222,0.13793103448275862
2,257,4161,shared,25,2,16,1,1,1,0.038461538461538464,0.0625,0.047619047619047616
3,410,1895,shared,1,4,2,7,1,1,0.25,0.125,0.16666666666666666
4,431,1516,shared,15,3,10,7,0,1,0.0,0.0625,0.029411764705882353
5,461,1933,shared,0,0,0,3,0,0,1.0,0.0,0.0
6,547,3075,shared,71,4,20,12,3,7,0.041666666666666664,0.28,0.10309278350515463
7,584,4162,shared,9,61,12,21,5,9,0.07692307692307693,0.375,0.15730337078651685
8,750,1676,shared,3,2,13,6,0,5,0.0,0.35714285714285715,0.2631578947368421
9,753,3134,shared,3,3,4,8,2,0,0.5,0.0,0.125
10,781,2037,shared,34,103,19,24,15,15,0.12295081967213115,0.5357142857142857,0.2
11,799,3046,shared,193,21,24,22,18,19,0.09183673469387756,0.7037037037037037,0.16591928251121077
12,861,4621,shared,93,6,21,9,5,7,0.05319148936170213,0.30434782608695654,0.10256410256410256
13,877,2998,shared,8,3,9,6,3,3,0.375,0.25,0.3
14,956,1905,shared,0,0,7,1,0,1,1.0,0.14285714285714285,0.14285714285714285
15,8,2626,disjoint,12,6,20,6,2,6,0.125,0.3,0.2222222222222222
16,4720,1274,disjoint,49,3,21,5,1,5,0.0196078431372549,0.23809523809523808,0.08333333333333333
17,1160,331,disjoint,9,118,7,23,8,6,0.06722689075630252,0.25,0.0979020979020979
18,2622,2717,disjoint,13,90,9,24,8,8,0.08421052631578947,0.32,0.13333333333333333
19,1500,4024,disjoint,17,63,14,23,8,10,0.1111111111111111,0.37037037037037035,0.18181818181818182
20,3705,3080,disjoint,7,14,6,12,4,2,0.23529411764705882,0.125,0.18181818181818182
21,3208,4355,disjoint,0,1,0,2,0,0,0.0,0.0,0.0
22,737,1066,disjoint,11,1,9,1,1,1,0.09090909090909091,0.1111111111111111,0.1
23,4951,124,disjoint,3,80,5,21,1,4,0.012195121951219513,0.18181818181818182,0.04807692307692308
24,1667,4770,disjoint,7,8,16,10,0,7,0.0,0.3684210526315789,0.20588235294117646
25,1128,3605,disjoint,5,0,5,2,0,0,0.0,0.0,0.0
26,1694,3950,disjoint,152,29,26,7,19,7,0.11728395061728394,0.2692307692307692,0.13829787234042554
27,362,1791,disjoint,143,12,23,8,11,6,0.0763888888888889,0.24,0.10059171597633136
28,1794,1058,disjoint,61,39,22,22,17,17,0.20481927710843373,0.6296296296296297,0.3090909090909091
