pair_idx,A_idx,B_idx,condition,p_A_postA,p_A_after_B,p_B_after_B,A_displaced,status
0,11,1221,skip,0.9998645782470703,0.9998645782470703,1.4089074511502986e-06,0.0,ok
0,11,1221,real,0.9998645782470703,2.3985169387186374e-15,0.9985138773918152,0.9998645782470679,ok
0,11,1221,dry_run,0.9998645782470703,0.9998645782470703,1.4089059732214082e-06,0.0,ok
0,11,1221,random_target,0.9998645782470703,3.209761711672144e-34,1.1627369296030744e-36,0.9998645782470703,ok
1,231,2065,skip,0.9983988404273987,0.9983988404273987,7.394381560906755e-21,0.0,ok
1,231,2065,real,0.9983988404273987,2.530252694474741e-19,0.9999994039535522,0.9983988404273987,ok
1,231,2065,dry_run,0.9983988404273987,0.9983988404273987,7.394381560906755e-21,0.0,ok
1,231,2065,random_target,0.9983988404273987,7.15308776595653e-23,3.7143891158299875e-29,0.9983988404273987,ok
2,257,4161,skip,0.9999995231628418,0.9999995231628418,4.692852041003217e-19,0.0,ok
2,257,4161,real,0.9999995231628418,8.832007006276399e-05,1.0,0.999911203092779,ok
2,257,4161,dry_run,0.9999995231628418,0.9999995231628418,4.692852041003217e-19,0.0,ok
2,257,4161,random_target,0.9999995231628418,1.112027882429166e-13,1.3500542852201371e-24,0.9999995231627306,ok
3,410,1895,skip,0.9962356686592102,0.9962356686592102,1.3289054752452234e-11,0.0,ok
3,410,1895,real,0.9962356686592102,5.190858114024238e-17,0.9999997615814209,0.9962356686592102,ok
3,410,1895,dry_run,0.9962356686592102,0.9962356686592102,1.3289054752452234e-11,0.0,ok
3,410,1895,random_target,0.9962356686592102,1.0466026131184212e-19,1.932655676939025e-27,0.9962356686592102,ok
4,431,1516,skip,1.0,1.0,1.7930100737473254e-09,0.0,ok
4,431,1516,real,1.0,6.595779478146824e-11,0.9964236617088318,0.9999999999340422,ok
4,431,1516,dry_run,1.0,1.0,1.7930100737473254e-09,0.0,ok
4,431,1516,random_target,1.0,7.428741868070384e-21,1.4154171853449893e-36,1.0,ok
5,8,547,skip,1.0,1.0,8.890283113835765e-16,0.0,ok
5,8,547,real,1.0,1.731315958652946e-11,0.00044086796697229147,0.9999999999826868,ok
5,8,547,dry_run,1.0,1.0,8.890283113835765e-16,0.0,ok
5,8,547,random_target,1.0,7.29948343961502e-18,2.8438096322247475e-10,1.0,ok
6,584,737,skip,0.9999730587005615,0.9999730587005615,2.6151517431571847e-06,0.0,ok
6,584,737,real,0.9999730587005615,4.7612700235485537e-20,0.9998995065689087,0.9999730587005615,ok
6,584,737,dry_run,0.9999730587005615,0.9999730587005615,2.6151485599257285e-06,0.0,ok
6,584,737,random_target,0.9999730587005615,2.732517590298874e-28,3.8394428113389497e-34,0.9999730587005615,ok
7,750,753,skip,1.0,1.0,3.5801683517389573e-22,0.0,ok
7,750,753,real,1.0,1.8125881654992848e-14,0.9996159076690674,0.9999999999999819,ok
7,750,753,dry_run,1.0,1.0,3.5801683517389573e-22,0.0,ok
7,750,753,random_target,1.0,1.0986111825681813e-24,9.987683512886372e-24,1.0,ok
8,781,799,skip,0.999884843826294,0.999884843826294,2.757296897470951e-06,0.0,ok
8,781,799,real,0.999884843826294,9.782660820140273e-19,0.9999727010726929,0.999884843826294,ok
8,781,799,dry_run,0.999884843826294,0.999884843826294,2.7572955332288984e-06,0.0,ok
8,781,799,random_target,0.999884843826294,4.301278951489325e-29,1.6610697162909488e-37,0.999884843826294,ok
9,861,877,skip,0.9991220831871033,0.9991220831871033,1.5755068690642693e-12,0.0,ok
9,861,877,real,0.9991220831871033,2.7972140229093334e-11,1.0,0.9991220831591311,ok
9,861,877,dry_run,0.9991220831871033,0.9991220831871033,1.5755068690642693e-12,0.0,ok
9,861,877,random_target,0.9991220831871033,4.6125179911146556e-23,6.587709626766627e-27,0.9991220831871033,ok
