pair_idx,condition,method,A_idx,B_idx,A_subject,B_subject,A_relation,B_relation,n_mlp_A,n_mlp_B,n_attn_A,n_attn_B,p_new_A_solo,p_new_B_solo,p_new_A_postA,p_new_A_postAB,p_new_B_postAB,p_true_A_postAB,p_true_B_postAB,kl_A_solo,kl_B_solo,kl_postA,kl_postAB,retention_A,retention_A_abs,success_B,kl_super_additivity,status,n_mlp_total,n_attn_total,n_params_total,kl_max_solo,kl_min_solo,kl_sum_solo,kl_postAB_vs_max_solo,kept
0,shared,ACDC,11,1221,Andreas Ivanschitz,Andreas Ivanschitz,P641,P413,9,8,2,9,0.9999610185623169,1.0,0.9999610185623169,1.2310644040627872e-13,1.0,4.111975571077335e-20,2.6070018203620688e-33,9.90215015411377,40.25829315185547,9.90215015411377,31.41852569580078,1.2311123945938779e-13,1.2310644040627872e-13,1.0,-18.741917610168457,ok,17,11,28,40.25829315185547,9.90215015411377,50.16044330596924,0.7804236900280193,0
0,shared,ROMEtrace,11,1221,Andreas Ivanschitz,Andreas Ivanschitz,P641,P413,5,5,0,0,0.9995371103286743,0.9995872378349304,0.9995371103286743,0.9989907145500183,1.0,5.1362697693100545e-20,3.372925403629835e-42,14.506574630737305,19.401268005371094,14.506574630737305,35.174320220947266,0.9994533511832528,0.9989907145500183,1.0,1.2664775848388672,ok,10,0,10,19.401268005371094,14.506574630737305,33.9078426361084,1.8129907906642764,1
0,shared,Random,11,1221,Andreas Ivanschitz,Andreas Ivanschitz,P641,P413,9,8,0,0,0.9999980330467224,0.0017576012760400772,0.9999980330467224,0.9999986886978149,0.999997079372406,9.151069198954229e-38,6.260296174838083e-32,15.68795394897461,16.56180763244629,15.68795394897461,21.984691619873047,1.0000006556523822,0.9999986886978149,0.999997079372406,-10.265069961547852,ok,17,0,17,16.56180763244629,15.68795394897461,32.2497615814209,1.3274330983535136,1
1,shared,ACDC,231,2065,Italy,Italy,P37,P463,8,12,5,4,0.9912773966789246,1.0,0.9912773966789246,2.843703157395794e-07,0.9999985694885254,1.876962273020359e-21,1.0655891876458797e-34,39.10547637939453,38.821556091308594,39.10547637939453,30.360855102539062,2.868725915594413e-07,2.843703157395794e-07,0.9999985694885254,-47.56617736816406,ok,20,9,29,39.10547637939453,38.821556091308594,77.92703247070312,0.7763837168989665,0
1,shared,ROMEtrace,231,2065,Italy,Italy,P37,P463,5,5,0,0,0.9775012731552124,0.9999991059303284,0.9775012731552124,0.6663076877593994,1.0,2.497380286511225e-13,0.0,23.049108505249023,25.838333129882812,23.049108505249023,22.865436553955078,0.6816438055458163,0.6663076877593994,1.0,-26.022005081176758,ok,10,0,10,25.838333129882812,23.049108505249023,48.887441635131836,0.8849424008513347,1
1,shared,Random,231,2065,Italy,Italy,P37,P463,8,12,0,0,0.12446966022253036,1.0,0.12446966022253036,6.59242964579955e-14,0.9748095870018005,3.4279266166066524e-13,4.311712737148354e-28,11.806337356567383,54.550296783447266,11.806337356567383,24.939401626586914,5.296414912689099e-13,6.59242964579955e-14,0.9748095870018005,-41.417232513427734,ok,20,0,20,54.550296783447266,11.806337356567383,66.35663414001465,0.4571817771329619,0
2,shared,ACDC,257,4161,Alberto Mazzucato,Alberto Mazzucato,P136,P1412,8,10,4,3,0.9999964237213135,7.193495960547988e-18,0.9999964237213135,1.1142797195194416e-14,1.0,5.1750047936193644e-31,1.1045034495808208e-41,12.563333511352539,37.12962341308594,12.563333511352539,39.144813537597656,1.1142837045085047e-14,1.1142797195194416e-14,1.0,-10.54814338684082,ok,18,7,25,37.12962341308594,12.563333511352539,49.69295692443848,1.0542744563307767,0
2,shared,ROMEtrace,257,4161,Alberto Mazzucato,Alberto Mazzucato,P136,P1412,5,5,0,0,0.9999957084655762,1.569727885453176e-07,0.9999957084655762,1.5467339409269698e-08,9.88256587675096e-10,2.1402346041254905e-12,1.8909275187328767e-12,31.98914337158203,12.990933418273926,31.98914337158203,20.318748474121094,1.5467405788174086e-08,1.5467339409269698e-08,9.88256587675096e-10,-24.661328315734863,ok,10,0,10,31.98914337158203,12.990933418273926,44.98007678985596,0.6351763858788265,0
2,shared,Random,257,4161,Alberto Mazzucato,Alberto Mazzucato,P136,P1412,8,10,0,0,0.9999615550041199,1.0,0.9999615550041199,5.372477462736627e-16,1.0,3.526567917606897e-25,2.802596928649634e-45,12.079540252685547,48.234317779541016,12.079540252685547,41.411521911621094,5.37268401555147e-16,5.372477462736627e-16,1.0,-18.90233612060547,ok,18,0,18,48.234317779541016,12.079540252685547,60.31385803222656,0.8585489298489909,0
3,shared,ACDC,410,1895,Manuel Roxas,Manuel Roxas,P39,P20,3,8,2,4,0.9999858140945435,0.9991845488548279,0.9999858140945435,7.590440276317167e-08,0.999180793762207,1.3604382281489142e-17,0.0,29.09878921508789,37.03657531738281,29.09878921508789,27.110530853271484,7.590547955112822e-08,7.590440276317167e-08,0.999180793762207,-39.02483367919922,ok,11,6,17,37.03657531738281,29.09878921508789,66.1353645324707,0.7319934583840255,0
