step,p_new_A,p_new_B,kl_neutral,loss,pair_idx,A_idx,B_idx,p_A_postA
0,0.9999957084655762,3.796627454696194e-13,9.96833610534668,,0,11,1221,0.9999957084655762
1,0.9999942779541016,7.572636406827371e-10,21.331628799438477,-0.04658716917037964,0,11,1221,0.9999957084655762
2,1.7878717493923602e-16,0.028943520039319992,17.039344787597656,-18.666868209838867,0,11,1221,0.9999957084655762
3,7.433693959869869e-14,0.27230390906333923,13.578749656677246,-36.93377685546875,0,11,1221,0.9999957084655762
4,7.760001563198045e-19,0.9999998807907104,29.157503128051758,-48.5659294128418,0,11,1221,0.9999957084655762
5,8.94555053133645e-15,1.0,22.790746688842773,-88.05069732666016,0,11,1221,0.9999957084655762
6,1.3203869720084137e-20,1.0,39.20089340209961,-99.14029693603516,0,11,1221,0.9999957084655762
7,2.7060382423156685e-18,1.0,33.85093307495117,-109.27388000488281,0,11,1221,0.9999957084655762
8,8.564907318548846e-17,1.0,27.191783905029297,-112.9013900756836,0,11,1221,0.9999957084655762
9,1.0685577314096832e-19,1.0,15.32131576538086,-118.84793853759766,0,11,1221,0.9999957084655762
10,3.238156333899702e-17,1.0,11.272665023803711,-120.91571044921875,0,11,1221,0.9999957084655762
11,2.3447624279408666e-16,1.0,8.778242111206055,-122.74158477783203,0,11,1221,0.9999957084655762
12,1.4608385488556813e-15,1.0,6.434620380401611,-124.16987609863281,0,11,1221,0.9999957084655762
13,1.3190759384296494e-15,1.0,5.933488368988037,-124.76181030273438,0,11,1221,0.9999957084655762
14,9.088203415741694e-14,1.0,5.40484094619751,-124.97113037109375,0,11,1221,0.9999957084655762
15,3.4510312359528617e-13,1.0,5.210136413574219,-125.06348419189453,0,11,1221,0.9999957084655762
0,0.9956222176551819,4.691078081542344e-10,20.062299728393555,,1,231,2065,0.9956222176551819
1,0.8377707004547119,0.00019261908892076463,12.788375854492188,-1.0123608112335205,1,231,2065,0.9956222176551819
2,0.9928679466247559,3.327438585082332e-12,26.051042556762695,-11.627670288085938,1,231,2065,0.9956222176551819
3,1.5671059489439285e-19,0.9999992847442627,28.3865966796875,-25.247472763061523,1,231,2065,0.9956222176551819
4,4.038681630239637e-18,1.0,37.39591598510742,-69.73058319091797,1,231,2065,0.9956222176551819
5,5.95214525094024e-24,1.0,43.96064376831055,-94.19904327392578,1,231,2065,0.9956222176551819
6,5.861673357518384e-25,1.0,47.13665771484375,-107.89119720458984,1,231,2065,0.9956222176551819
7,3.507877830609948e-25,1.0,50.908416748046875,-117.92501831054688,1,231,2065,0.9956222176551819
8,1.787239914209877e-24,1.0,52.58904266357422,-123.3108139038086,1,231,2065,0.9956222176551819
9,1.85584689445494e-27,1.0,50.504051208496094,-124.86408233642578,1,231,2065,0.9956222176551819
10,1.391429842483753e-26,1.0,50.49114990234375,-123.6780014038086,1,231,2065,0.9956222176551819
11,9.557833797277121e-25,1.0,51.30320358276367,-125.05592346191406,1,231,2065,0.9956222176551819
12,3.557323444794736e-23,1.0,50.258277893066406,-126.13408660888672,1,231,2065,0.9956222176551819
13,3.037648701705911e-23,1.0,45.184940338134766,-126.18904876708984,1,231,2065,0.9956222176551819
14,1.3558917005131743e-21,1.0,40.2943115234375,-127.021728515625,1,231,2065,0.9956222176551819
15,1.8545937355285425e-12,1.0,22.754066467285156,-127.48341369628906,1,231,2065,0.9956222176551819
0,0.9999809265136719,1.621869142514382e-21,41.39319610595703,,2,257,4161,0.9999809265136719
1,0.9996080994606018,2.25543330968742e-19,40.92641830444336,-0.8215336799621582,2,257,4161,0.9999809265136719
2,0.06083734333515167,0.7944284081459045,17.35484504699707,-3.955881118774414,2,257,4161,0.9999809265136719
3,0.9967029690742493,0.0031742483843117952,33.04644775390625,-45.547576904296875,2,257,4161,0.9999809265136719
4,4.6632256545579e-22,1.0,36.3514289855957,-55.60060501098633,2,257,4161,0.9999809265136719
5,9.617003295549355e-26,1.0,43.5704345703125,-73.35379791259766,2,257,4161,0.9999809265136719
6,5.196860829643376e-25,1.0,44.588871002197266,-87.6581039428711,2,257,4161,0.9999809265136719
7,1.1227628494348147e-23,1.0,34.9726676940918,-103.00806427001953,2,257,4161,0.9999809265136719
8,0.999913215637207,1.0,42.03394317626953,-112.92662048339844,2,257,4161,0.9999809265136719
9,5.5422892728529405e-06,1.0,32.43711471557617,-115.59937286376953,2,257,4161,0.9999809265136719
10,1.5766697855388209e-22,1.0,30.825590133666992,-118.51107788085938,2,257,4161,0.9999809265136719
11,2.787581252050586e-05,1.0,30.651473999023438,-119.52742767333984,2,257,4161,0.9999809265136719
12,1.1288902896922082e-05,1.0,29.549699783325195,-120.26061248779297,2,257,4161,0.9999809265136719
