pair_idx,A_idx,B_idx,condition,p_A_postA,p_A_after_B,p_B_after_B,A_displaced,status
0,11,1221,skip,0.9999957084655762,0.9999957084655762,3.796627454696194e-13,0.0,ok
0,11,1221,real,0.9999957084655762,7.433693959869869e-14,0.27230390906333923,0.9999957084655018,ok
0,11,1221,dry_run,0.9999957084655762,0.9999957084655762,3.796600078591339e-13,0.0,ok
0,11,1221,random_target,0.9999957084655762,5.4917819540957216e-18,7.428552808693215e-14,0.9999957084655762,ok
1,231,2065,skip,0.9956222176551819,0.9956222176551819,4.691078081542344e-10,0.0,ok
1,231,2065,real,0.9956222176551819,1.5671059489439285e-19,0.9999992847442627,0.9956222176551819,ok
1,231,2065,dry_run,0.9956222176551819,0.9956222176551819,4.691063093531511e-10,0.0,ok
1,231,2065,random_target,0.9956222176551819,0.6270495057106018,3.728694002863575e-12,0.3685727119445801,ok
2,257,4161,skip,0.9999809265136719,0.9999809265136719,1.621869142514382e-21,0.0,ok
2,257,4161,real,0.9999809265136719,0.9967029690742493,0.0031742483843117952,0.0032779574394226074,ok
2,257,4161,dry_run,0.9999809265136719,0.9999809265136719,1.621862983088434e-21,0.0,ok
2,257,4161,random_target,0.9999809265136719,0.9975817203521729,1.0808352612912131e-07,0.0023992061614990234,ok
3,410,1895,skip,1.0,1.0,1.218096799640212e-20,0.0,ok
3,410,1895,real,1.0,3.113274922608374e-19,0.9992185831069946,1.0,ok
3,410,1895,dry_run,1.0,1.0,1.218096799640212e-20,0.0,ok
3,410,1895,random_target,1.0,1.3702948308491614e-05,2.0960005797193888e-19,0.9999862970516915,ok
4,431,1516,skip,1.0,1.0,2.7670916936957773e-20,0.0,ok
4,431,1516,real,1.0,1.4380713620246698e-17,0.9999998807907104,1.0,ok
4,431,1516,dry_run,1.0,1.0,2.7671233592036016e-20,0.0,ok
4,431,1516,random_target,1.0,1.7808400120268234e-27,1.6499532716253986e-39,1.0,ok
5,461,1933,skip,0.9987372756004333,0.9987372756004333,6.225763248152999e-20,0.0,ok
5,461,1933,real,0.9987372756004333,2.5536972407200937e-22,1.0,0.9987372756004333,ok
5,461,1933,dry_run,0.9987372756004333,0.9987372756004333,6.225763248152999e-20,0.0,ok
5,461,1933,random_target,0.9987372756004333,3.065341932378691e-15,1.3638382687538128e-22,0.9987372756004302,ok
6,547,3075,skip,0.999677300453186,0.999677300453186,4.442319862418029e-22,0.0,ok
6,547,3075,real,0.999677300453186,2.6093214366591694e-39,1.0,0.999677300453186,ok
6,547,3075,dry_run,0.999677300453186,0.999677300453186,4.442337028031327e-22,0.0,ok
6,547,3075,random_target,0.999677300453186,0.0,5.923540281905194e-38,0.999677300453186,ok
7,584,4162,skip,0.9999992847442627,0.9999992847442627,3.082738331272594e-08,0.0,ok
7,584,4162,real,0.9999992847442627,3.057610533273509e-16,0.9999240636825562,0.9999992847442624,ok
7,584,4162,dry_run,0.9999992847442627,0.9999992847442627,3.082727673131558e-08,0.0,ok
7,584,4162,random_target,0.9999992847442627,5.277245971482346e-34,7.800167169070768e-15,0.9999992847442627,ok
8,750,1676,skip,0.9999985694885254,0.9999985694885254,3.5167705192407084e-08,0.0,ok
8,750,1676,real,0.9999985694885254,1.9332578073127937e-12,0.9999990463256836,0.9999985694865922,ok
8,750,1676,dry_run,0.9999985694885254,0.9999985694885254,3.5167790457535375e-08,0.0,ok
8,750,1676,random_target,0.9999985694885254,2.2091146688967883e-21,6.952378972977803e-36,0.9999985694885254,ok
9,753,3134,skip,1.0,1.0,1.7117753048356832e-10,0.0,ok
9,753,3134,real,1.0,0.966155469417572,0.9999991655349731,0.03384453058242798,ok
9,753,3134,dry_run,1.0,1.0,1.7117753048356832e-10,0.0,ok
9,753,3134,random_target,1.0,0.5578658580780029,7.844712657245623e-10,0.44213414192199707,ok
