pair_idx,A_idx,B_idx,cos_perturbation_vs_edit,projection_signed,mag_delta_h_from_B,mag_h_edit_contribution,p_A_postA,p_A_postAB,p_B_postAB,A_displaced,status
0,11,1221,0.1593828946352005,377.17826692066296,2366.491455078125,7833.88720703125,0.9999957084655762,7.433693959869869e-14,0.27230390906333923,0.9999957084655018,ok
1,231,2065,0.11001397669315338,140.01694277171407,1272.7196044921875,3940.943603515625,0.9956222176551819,1.5671059489439285e-19,0.9999992847442627,0.9956222176551819,ok
2,257,4161,0.023120258003473282,34.67367995970218,1499.709716796875,9189.39453125,0.9999809265136719,0.9967029690742493,0.0031742483843117952,0.0032779574394226074,ok
3,410,1895,0.030940145254135132,54.2909953807729,1754.710693359375,5641.33203125,1.0,3.113274922608374e-19,0.9992185831069946,1.0,ok
4,431,1516,0.12556590139865875,370.31056450021174,2949.1328125,2178.274169921875,1.0,1.4380713620246698e-17,0.9999998807907104,1.0,ok
5,461,1933,0.3028072416782379,407.90439139191653,1347.0760498046875,2243.23583984375,0.9987372756004333,2.5536972407200937e-22,1.0,0.9987372756004333,ok
6,547,3075,0.33201101422309875,325.28417138029084,979.7391357421875,3065.81298828125,0.999677300453186,2.6093214366591694e-39,1.0,0.999677300453186,ok
7,584,4162,0.2784348428249359,633.1236955841497,2273.86669921875,3127.920166015625,0.9999992847442627,3.057610533273509e-16,0.9999240636825562,0.9999992847442624,ok
8,750,1676,0.01946154050529003,36.08933391402043,1854.3929443359375,3867.9931640625,0.9999985694885254,1.9332578073127937e-12,0.9999990463256836,0.9999985694865922,ok
9,753,3134,0.08458368480205536,78.28856233310805,925.5751342773438,7307.93212890625,1.0,0.966155469417572,0.9999991655349731,0.03384453058242798,ok
