method,model,idx,n_steps,edit_success,over_extinction,oe_damage,neighborhood_preservation,paraphrase_success,locality_drop,baseline_prob,final_p_true,training_loss_final,n_mlp,oe_source
OurMethod_1step,Qwen/Qwen3-0.6B,0,1,0.6449,0.030402,,,,,0.0018,9.388921814589266e-19,0.0,11,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,1,1,0.8367,0.057374,,,,,0.0064,4.2285080737456196e-14,0.0,16,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,2,1,0.8912,0.103125,,,,,0.0,9.458914736096206e-19,0.0,27,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,3,1,0.703,0.06327,,,,,0.0,1.6606865718526718e-18,0.0,21,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,4,1,1.0,0.077143,,,,,0.0,9.50222387735789e-30,0.0,18,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,5,1,0.4147,0.0391,,,,,0.0159,7.540301358528195e-18,0.0,22,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,6,1,0.9997,0.085689,,,,,0.0,1.26432100462014e-30,0.0,20,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,7,1,0.0004,3.6e-05,,,,,0.0002,0.00017635423864703625,0.0,21,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,8,1,0.0,0.0,,,,,0.0,3.7338153402455276e-11,0.0,18,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,9,1,0.0001,7e-06,,,,,0.0,1.3150527888861063e-10,0.0,17,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,10,1,1.0,0.072857,,,,,0.0,1.600520679463816e-23,0.0,17,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,11,1,0.0056,0.000456,,,,,0.0046,1.8121466549558818e-09,0.0,19,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,12,1,0.0002,2.4e-05,,,,,0.0,1.1817875567032843e-08,0.0,28,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,13,1,0.0005,2.8e-05,,,,,0.0002,6.052572072007267e-12,0.0,13,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,14,1,0.1315,0.008454,,,,,0.0005,6.001714416450205e-16,0.0,15,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,15,1,0.0006,4.9e-05,,,,,0.0,2.445457324207376e-18,0.0,19,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,16,1,0.0665,0.007695,,,,,0.0002,2.6167315994693637e-14,0.0,27,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,17,1,0.9437,0.076844,,,,,0.0,2.6327509484073362e-22,0.0,19,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,18,1,0.0015,7.7e-05,,,,,0.0005,2.521614966393684e-16,0.0,12,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,19,1,0.0227,0.002043,,,,,0.0,9.141179153178103e-19,0.0,21,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,20,1,0.0,0.0,,,,,0.0006,5.807677116997922e-10,0.0,26,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,21,1,0.5556,0.038098,,,,,0.0,3.2538241273181914e-18,0.0,16,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,22,1,0.9964,0.093946,,,,,0.0002,1.7905267861596477e-19,0.0,22,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,23,1,0.0772,0.008933,,,,,0.0,4.017775763237759e-14,0.0,27,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,24,1,0.9937,0.102209,,,,,0.0,1.9589448382329572e-21,0.0,24,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,25,1,0.9998,0.081412,,,,,0.0,4.427724304938177e-20,0.0,19,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,26,1,0.9761,0.108765,,,,,0.0,5.0315480575259877e-20,0.0,26,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,27,1,0.0034,0.000335,,,,,0.0,1.2954086798305066e-17,0.0,23,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,28,1,0.0043,0.000424,,,,,0.1044,1.0034324310044876e-13,0.0,23,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,29,1,0.8119,0.090469,,,,,0.0021,7.121174732411864e-17,0.0,26,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,30,1,0.9996,0.119952,,,,,0.0016,8.389179429985749e-28,0.0,28,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,31,1,0.0,0.0,,,,,0.0001,3.2298728910973296e-05,0.0,21,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,32,1,0.9322,0.111864,,,,,0.0002,6.0540105030663e-21,0.0,28,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,33,1,0.2244,0.025966,,,,,0.0009,5.578953919728479e-16,0.0,27,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,34,1,0.094,0.007654,,,,,0.0001,4.57665318403383e-14,0.0,19,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,35,1,0.8303,0.056935,,,,,0.0001,2.4680257064499666e-17,0.0,16,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,36,1,0.1533,0.014454,,,,,0.0009,5.409948082740789e-16,0.0,22,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,37,1,0.9941,0.119292,,,,,0.0004,9.246449453729354e-22,0.0,28,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,38,1,0.9792,0.071342,,,,,0.0001,2.4060214057858492e-17,0.0,17,synthetic_approx
OurMethod_1step,Qwen/Qwen3-0.6B,39,1,0.0,0.0,,,,,0.0002,7.992809539225654e-12,0.0,15,synthetic_approx
